"department","program","account_name","bank_code","allocation_year","semester_code","male_fees","female_fees","semester","year_semester","upto_7_days_fine","upto_84_days_fine","start_date","end_date"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2013","10","101400","99900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","1989","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","1999","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2002","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2003","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2004","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2005","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2006","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2007","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2008","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2009","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2010","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2011","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2012","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2014","10","132400","130900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2015","8","125100","123600","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2016","6","125000","125000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2017","4","144000","144000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2018","2","151000","151000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2013","10","0","0","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2005","4","180000","180000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2014","10","0","0","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2015","8","0","0","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2016","6","156500","156500","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2017","4","202500","202500","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2018","2","180000","180000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","PG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2019","4","189000","189000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","Doctoral","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2014","10","44200","44200","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","Doctoral","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2015","8","44200","44200","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","Doctoral","CEPT  FACULTY OF ARCHITECTURE","FCCFAR","2016","6","44200","44200","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","Doctoral","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2017","4","88400","88400","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Architecture","Doctoral","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2018","2","10000","10000","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2013","10","101400","99900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","1999","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2000","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2001","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2002","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2003","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2004","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2005","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2006","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2007","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2008","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2009","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2010","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2011","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2012","10","50400","48900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
"Design","UG","CEPT FACULTY OF DESIGN","FCCEFD","2014","10","132400","130900","S","2020","0","","2/2/2019 12:00:00 AM","9/18/2019 12:00:00 AM"
