"department","program","account_name","bank_code","allocation_year","semester_code","male_fees","female_fees","semester","year_semester","upto_7_days_fine","upto_84_days_fine","installment1","installment2","installment3","installment4","start_date","end_date","end_date2","end_date3"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2013","10","0","0","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","1989","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","1999","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2002","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2003","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2004","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2005","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2006","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2007","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2008","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2009","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2010","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2011","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2012","10","125000","125000","S","2022","250","500","","","","","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2014","10","","130900","S","2022","250","500","32725","32725","32725","32725","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2014","10","132400","","S","2022","250","500","33100","33100","33100","33100","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
"Architecture","UG","CEPT FACULTY OF ARCHITECTURE","FCCFAR","2015","10","","123600","S","2022","250","500","30900","30900","30900","30900","07/13/2021 12:00:00 PM","07/26/2021 12:00:00 PM","08/09/2021 12:00:00 AM","09/06/2021 12:00:00 AM"
